,age,job,marital,education,default,housing,loan,contact,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,y_proba
32884,57,Service,married,Mid,no,no,yes,1,1,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,0.1
3169,55,unknown,married,unknown,unknown,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.0
32206,33,Unskilled,married,Mid,no,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.0
9403,36,Service,married,Mid,no,no,no,0,4,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,0.0
14020,27,Unskilled,married,Mid,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.0
17201,58,Retired,married,Degree,no,yes,yes,1,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.3
879,48,Service,married,Mid,unknown,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
23757,51,Service,divorced,Degree,unknown,yes,no,1,7,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0.1
10821,24,Professional,married,Degree,no,yes,yes,0,4,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,0.2
14355,36,Service,divorced,Degree,no,yes,yes,1,4,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
32311,34,Unskilled,married,Mid,no,no,no,1,3,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,0.2
31850,42,Unskilled,single,Basic,no,yes,no,1,3,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,0.0
13595,43,Unskilled,single,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.4
21871,56,Service,married,Degree,no,no,no,1,3,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.0
16735,58,Unskilled,married,Basic,no,no,yes,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.2
8040,36,Unskilled,married,Mid,no,yes,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.0
14064,26,Unskilled,single,Mid,unknown,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.1
17688,53,Service,married,Degree,no,no,yes,1,11,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.0
15507,37,Professional,single,Degree,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,0.0
37480,46,Service,married,Degree,no,yes,no,1,1,1,failure,-2.9,92.201,-31.4,0.873,5076.2,1,0.4
17267,59,Retired,married,Mid,unknown,no,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.0
1670,49,Unemployed,single,Degree,unknown,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.0
8528,26,unknown,single,Mid,unknown,yes,yes,0,15,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,1,0.1
15755,30,Service,single,Mid,no,no,yes,1,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.0
20770,51,Professional,married,Mid,unknown,no,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.133333333333
36915,45,Service,married,Mid,no,yes,no,0,2,0,nonexistent,-2.9,92.963,-40.8,1.215,5076.2,0,0.1
33728,30,Service,single,Mid,no,yes,no,1,12,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,0.1
22969,31,Service,married,Degree,no,no,no,1,9,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.1
8925,41,Unskilled,married,Basic,unknown,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,0.0
144,38,unknown,divorced,Mid,unknown,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36968,47,Unskilled,married,Basic,unknown,no,yes,1,1,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,0,0.3
36562,69,Professional,married,Mid,no,no,no,1,2,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.7
40868,26,Service,single,Degree,no,no,no,1,1,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,1,0.8
14050,41,Professional,divorced,Degree,no,no,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.1
10835,36,Unskilled,single,Mid,no,yes,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,1,0.0
11042,31,Service,single,Mid,no,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,0.0
23685,33,Service,single,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0.0
24425,33,Unskilled,married,Mid,no,yes,yes,1,1,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0.0
8725,30,Unskilled,married,Basic,no,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.1
25809,30,Professional,married,Degree,no,no,no,1,5,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
24999,50,Professional,married,Mid,no,no,no,0,1,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0.0
12662,38,Unskilled,married,unknown,unknown,no,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.2
