,age,job,marital,education,default,housing,loan,contact,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,duration,y_pred,y_proba
32884,57,Service,married,Mid,no,no,yes,1,1,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,371,0,0.366997713146
3169,55,unknown,married,unknown,unknown,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,285,0,0.0939047313927
32206,33,Unskilled,married,Mid,no,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,52,0,0.370412690809
9403,36,Service,married,Mid,no,no,no,0,4,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,355,0,0.283372866289
14020,27,Unskilled,married,Mid,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,189,0,0.35214642157
17201,58,Retired,married,Degree,no,yes,yes,1,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,605,0,0.461460132632
879,48,Service,married,Mid,unknown,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,243,0,0.202368302401
23757,51,Service,divorced,Degree,unknown,yes,no,1,7,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,24,0,0.166982984258
10821,24,Professional,married,Degree,no,yes,yes,0,4,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,126,0,0.233078855057
14355,36,Service,divorced,Degree,no,yes,yes,1,4,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,43,0,0.303628187863
32311,34,Unskilled,married,Mid,no,no,no,1,3,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,451,1,0.540037187821
31850,42,Unskilled,single,Basic,no,yes,no,1,3,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,560,1,0.533140077013
13595,43,Unskilled,single,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,982,0,0.360135073612
21871,56,Service,married,Degree,no,no,no,1,3,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,552,0,0.346647308154
16735,58,Unskilled,married,Basic,no,no,yes,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,265,0,0.313931079199
8040,36,Unskilled,married,Mid,no,yes,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,171,0,0.282418303236
14064,26,Unskilled,single,Mid,unknown,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,151,0,0.255872797516
17688,53,Service,married,Degree,no,no,yes,1,11,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,178,0,0.280145830064
15507,37,Professional,single,Degree,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,92,0,0.373822807185
37480,46,Service,married,Degree,no,yes,no,1,1,1,failure,-2.9,92.201,-31.4,0.873,5076.2,1,399,1,0.62104613342
17267,59,Retired,married,Mid,unknown,no,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,1330,0,0.334471101914
1670,49,Unemployed,single,Degree,unknown,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,339,0,0.185804119227
8528,26,unknown,single,Mid,unknown,yes,yes,0,15,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,1,524,0,0.0475472290597
15755,30,Service,single,Mid,no,no,yes,1,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,101,0,0.323676569983
20770,51,Professional,married,Mid,unknown,no,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,158,0,0.199172090804
36915,45,Service,married,Mid,no,yes,no,0,2,0,nonexistent,-2.9,92.963,-40.8,1.215,5076.2,0,60,1,0.630915215924
33728,30,Service,single,Mid,no,yes,no,1,12,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,9,0,0.418775113711
22969,31,Service,married,Degree,no,no,no,1,9,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,119,0,0.260821971774
8925,41,Unskilled,married,Basic,unknown,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,348,0,0.21698195917
144,38,unknown,divorced,Mid,unknown,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,73,0,0.0878012595344
36968,47,Unskilled,married,Basic,unknown,no,yes,1,1,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,0,148,1,0.668099557396
36562,69,Professional,married,Mid,no,no,no,1,2,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,140,1,0.82864783884
40868,26,Service,single,Degree,no,no,no,1,1,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,1,649,1,0.885430109625
14050,41,Professional,divorced,Degree,no,no,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,911,0,0.326334215685
10835,36,Unskilled,single,Mid,no,yes,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,1,835,0,0.275622768159
11042,31,Service,single,Mid,no,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,49,0,0.298098897195
23685,33,Service,single,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,289,0,0.353002913511
24425,33,Unskilled,married,Mid,no,yes,yes,1,1,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,94,0,0.393414614448
8725,30,Unskilled,married,Basic,no,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,201,0,0.278707638291
25809,30,Professional,married,Degree,no,no,no,1,5,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,72,0,0.413982326459
24999,50,Professional,married,Mid,no,no,no,0,1,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,2,0,0.179832287723
12662,38,Unskilled,married,unknown,unknown,no,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,340,0,0.228770704301
41020,25,Student,single,Mid,no,yes,no,1,1,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,234,1,0.975680966631
756,30,Service,married,Degree,no,yes,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,51,0,0.291207668873
28062,45,Unskilled,married,Basic,unknown,yes,no,1,1,1,failure,-1.8,93.075,-47.1,1.479,5099.1,0,905,0,0.339365054192
6314,55,Retired,married,Mid,no,yes,no,0,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,591,0,0.263139858723
12357,45,Unskilled,married,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0,297,0,0.371613101105
12515,39,Service,married,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,201,0,0.40721455771
23461,44,Service,married,Degree,no,yes,no,1,9,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,27,0,0.259623534525
6108,34,Unskilled,married,Mid,unknown,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,59,0,0.178940609309
32668,34,Service,married,Degree,no,yes,no,1,1,1,failure,-1.8,92.893,-46.2,1.299,5099.1,1,934,0,0.456254963042
38202,63,Retired,married,Mid,no,yes,no,1,1,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,0,323,1,0.902601247715
2464,36,Unskilled,married,Mid,unknown,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,296,0,0.179278462311
33789,24,Service,married,Mid,no,yes,no,1,1,1,success,-1.8,92.893,-46.2,1.281,5099.1,1,302,1,0.859793222218
15983,24,Service,single,Mid,no,yes,no,0,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,722,0,0.142186892789
12893,37,Unskilled,single,Basic,no,no,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,338,0,0.341620009529
24129,52,Service,divorced,Degree,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,215,0,0.476165403837
27059,31,Service,single,Mid,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,63,0,0.46224361821
39196,41,Service,divorced,Degree,no,yes,no,1,2,3,success,-1.8,93.369,-34.8,0.653,5008.7,1,498,1,0.945705166205
29731,60,Unskilled,married,Basic,unknown,yes,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,89,1,0.539217859491
27101,35,Service,single,Degree,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,530,1,0.518570555595
4500,50,Service,single,Degree,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,169,0,0.312838145583
27190,50,Service,married,Degree,no,yes,yes,1,2,1,failure,-0.1,93.2,-42.0,4.021,5195.8,0,189,0,0.281464305854
3419,45,Unskilled,married,Basic,no,yes,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,276,0,0.228229532367
40576,33,Service,single,Degree,no,no,no,1,1,0,nonexistent,-1.1,94.199,-37.5,0.886,4963.6,0,425,1,0.880765117495
26278,42,Professional,married,Degree,no,no,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,110,0,0.462473190004
38246,77,Retired,married,Degree,no,no,yes,1,1,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5,1,348,1,0.907855068208
1631,32,Service,married,Mid,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,83,0,0.260175663541
2990,43,Service,single,Mid,unknown,yes,no,0,5,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,902,0,0.157556549568
37777,57,Retired,married,Degree,no,yes,no,1,1,0,nonexistent,-2.9,92.201,-31.4,0.843,5076.2,0,349,1,0.816746534229
18428,47,Service,married,Mid,unknown,no,yes,0,5,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,225,0,0.0807372736598
26095,44,Professional,married,Degree,no,yes,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,676,0,0.459184842606
32714,51,Professional,married,Degree,unknown,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,295,0,0.312266739645
35636,28,Service,single,Mid,no,yes,no,1,6,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,91,1,0.510501599953
18183,36,Service,married,Mid,no,yes,no,1,13,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,136,0,0.243463433767
216,30,Unskilled,single,unknown,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,251,0,0.204653324545
13328,30,Service,married,Degree,no,yes,no,0,2,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,693,0,0.188717951738
24444,32,Service,single,Mid,no,yes,no,1,1,1,failure,-0.1,93.2,-42.0,4.191,5195.8,0,92,0,0.280611711647
25602,43,Service,divorced,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,466,0,0.416475314515
3445,40,Unskilled,single,Basic,unknown,no,no,0,4,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,487,0,0.151600067991
33317,41,Professional,married,Mid,unknown,yes,no,1,2,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,527,0,0.427284443069
13282,44,Service,married,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,97,0,0.408756972738
4243,46,Unskilled,married,Basic,no,yes,yes,0,2,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,409,0,0.205263892436
13926,36,Service,single,Mid,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,249,0,0.38006986467
3270,46,Unskilled,single,Basic,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,218,0,0.235078616473
34279,31,Service,married,Mid,no,yes,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,348,1,0.601332645312
34151,56,Unskilled,married,Basic,no,yes,yes,1,2,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,80,1,0.513711188363
18143,25,Service,single,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,535,0,0.391800026099
26517,53,Professional,married,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,227,0,0.426830208065
8085,49,Unskilled,married,Basic,unknown,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,174,0,0.208062473547
27441,40,Professional,married,Mid,no,yes,no,1,4,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,7,0,0.37070210065
41031,25,Student,single,Mid,no,yes,no,1,1,4,success,-1.1,94.601,-49.5,1.032,4963.6,0,189,1,0.98017343073
25158,40,Service,divorced,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,179,0,0.416728607109
26621,31,Unemployed,single,Degree,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,70,0,0.45960754381
38324,28,Service,married,Mid,no,yes,no,0,1,1,failure,-3.4,92.431,-26.9,0.739,5017.5,1,186,0,0.490575306621
8231,35,Unskilled,married,Mid,no,yes,no,0,4,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,126,0,0.245524721496
28107,44,Professional,divorced,Degree,no,yes,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,0,230,1,0.592190288042
11011,42,Service,married,Basic,no,yes,no,0,3,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,300,0,0.299401152366
532,41,Unskilled,married,Basic,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,13,0,0.254291193121
11511,60,Retired,divorced,Degree,no,yes,no,0,4,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,98,0,0.308032960119
22236,29,Service,single,Mid,no,yes,no,1,3,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1,788,0,0.277439937119
36852,53,Unskilled,married,Basic,no,yes,no,1,2,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,1,245,1,0.839464256554
38578,60,Service,married,Basic,no,yes,no,1,6,2,failure,-3.4,92.431,-26.9,0.722,5017.5,0,133,1,0.733770357034
10646,45,Service,divorced,Degree,unknown,yes,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,205,0,0.227333000265
29822,52,Professional,married,Mid,no,yes,yes,0,5,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,67,0,0.223584798457
16548,49,Professional,divorced,Degree,no,no,yes,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,207,0,0.286181877406
2000,42,Professional,married,Degree,no,yes,no,0,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,1002,0,0.22299481445
28517,45,Unskilled,married,Mid,unknown,yes,no,1,4,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,72,0,0.480668605649
17075,42,Service,single,Mid,no,no,yes,1,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,295,0,0.355223568384
6330,28,Professional,married,Degree,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,371,0,0.258329136431
29675,33,Unskilled,married,Mid,no,no,no,1,2,2,failure,-1.8,93.075,-47.1,1.405,5099.1,0,87,0,0.429525196542
18294,38,Service,married,unknown,no,yes,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,87,0,0.338338928319
23558,46,Service,married,Degree,no,yes,no,1,14,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,13,0,0.204178773094
7945,54,Service,married,Mid,unknown,yes,no,0,12,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,490,0,0.135313675767
23678,45,Service,divorced,Degree,no,no,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,76,0,0.308760679214
11335,38,Service,married,Mid,no,yes,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,117,0,0.305273752531
729,24,Service,single,Degree,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,421,0,0.297455849667
20940,31,Service,married,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,214,0,0.363451201929
4168,29,Service,married,Degree,no,yes,no,0,42,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,124,0,0.0340789533447
33960,38,Unskilled,divorced,Degree,no,yes,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,213,1,0.550134328246
11096,31,Service,single,Degree,unknown,no,yes,0,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,127,0,0.234894383326
4009,35,Service,married,Degree,no,yes,yes,0,1,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,67,0,0.277630250049
22492,54,Unskilled,married,unknown,unknown,yes,yes,1,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,150,0,0.156209479912
6222,36,Service,married,Mid,unknown,no,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,318,0,0.183928458858
25749,44,Service,married,Mid,no,no,no,1,1,1,failure,-0.1,93.2,-42.0,4.12,5195.8,0,37,0,0.295804973606
